Day,Day of Year, Mean Wind SpeedMPH, Max Gust SpeedMPH, WindDirDegrees
230,18-Aug,4,15,126
231,19-Aug,3,9,181
232,20-Aug,6,17,177
233,21-Aug,3,12,153
234,22-Aug,5,16,146
235,23-Aug,10,53,193
236,24-Aug,5,26,136
237,25-Aug,7,32,212
238,26-Aug,6,26,262
239,27-Aug,4,14,164
240,28-Aug,11,30,247
241,29-Aug,9,27,260
242,30-Aug,5,11,125
243,31-Aug,7,29,216
244,1-Sep,2,10,310
245,2-Sep,4,21,219
246,3-Sep,9,43,165
247,4-Sep,9,26,277
248,5-Sep,3,13,133
249,6-Sep,8,33,203
250,7-Sep,8,24,227
251,8-Sep,5,30,173
252,9-Sep,11,36,271
253,10-Sep,4,12,177
254,11-Sep,12,37,313
255,12-Sep,7,20,186
256,13-Sep,5,22,199
257,14-Sep,3,10,140
258,15-Sep,3,7,125
259,16-Sep,2,12,278
260,17-Sep,3,10,180
261,18-Sep,2,8,220
262,19-Sep,2,9,172
263,20-Sep,2,8,140
264,21-Sep,3,10,172
265,22-Sep,2,8,148
266,23-Sep,4,12,163
267,24-Sep,12,41,273
268,25-Sep,11,28,263
269,26-Sep,11,37,274
270,27-Sep,5,30,335
271,28-Sep,2,11,354
272,29-Sep,8,31,184
273,30-Sep,8,43,224
274,1-Oct,11,31,265
275,2-Oct,2,9,240
276,3-Oct,3,12,157
277,4-Oct,3,12,197
278,5-Oct,3,9,221
279,6-Oct,2,14,109
280,7-Oct,3,10,149
281,8-Oct,5,25,153
282,9-Oct,6,18,200
283,10-Oct,3,11,140
284,11-Oct,4,15,170
285,12-Oct,3,11,187
286,13-Oct,6,27,159
287,14-Oct,6,22,127
288,15-Oct,7,22,83
289,16-Oct,7,18,100
290,17-Oct,5,13,100
291,18-Oct,2,9,114
292,19-Oct,3,12,141
293,20-Oct,3,9,136
294,21-Oct,4,17,126
295,22-Oct,4,12,141
296,23-Oct,9,38,276
297,24-Oct,5,27,351
298,25-Oct,3,9,149
299,26-Oct,5,17,37
300,27-Oct,5,24,203
301,28-Oct,3,8,160
302,29-Oct,3,11,163
303,30-Oct,6,22,229
